ID,Wikidata ID,Name,Wikidata Name,Beziehung Namen,von,bis,Jahre plausibel,typ
1931_54050,Q1679315,Jakob Rosenberg,Jakob Rosenberg (Esperantist),unklar,-,-,unbekannt,Mensch
1931_54051,Q1318237,Jakob Rosenberg,Jakob Rosenberg,identisch,-,-,unbekannt,Wikimedia-Begriffsklärungsseite
1931_54051,Q1280473,Jakob Rosenberg,Jakob Rosenberg,identisch,1893-09-05,1980-04-07,plausibel,Mensch
1931_54051,Q1679315,Jakob Rosenberg,Jakob Rosenberg (Esperantist),unklar,-,-,unbekannt,Mensch
1931_54075,Q2739096,Julius Rosenberg,Julius Rosenberg,identisch,1918-05-12,1953-06-19,plausibel,Mensch
1931_54076,Q2739096,Julius Rosenberg,Julius Rosenberg,identisch,1918-05-12,1953-06-19,plausibel,Mensch
1931_54077,Q2739096,Julius Rosenberg,Julius Rosenberg,identisch,1918-05-12,1953-06-19,plausibel,Mensch
1931_54078,Q2739096,Julius Rosenberg,Julius Rosenberg,identisch,1918-05-12,1953-06-19,plausibel,Mensch
1931_54079,Q2739096,Julius Rosenberg,Julius Rosenberg,identisch,1918-05-12,1953-06-19,plausibel,Mensch
1931_54080,Q2739096,Julius Rosenberg,Julius Rosenberg,identisch,1918-05-12,1953-06-19,plausibel,Mensch
1931_54081,Q2739096,Julius Rosenberg,Julius Rosenberg,identisch,1918-05-12,1953-06-19,plausibel,Mensch
1931_54082,Q2739096,Julius Rosenberg,Julius Rosenberg,identisch,1918-05-12,1953-06-19,plausibel,Mensch
1931_54083,Q2739096,Julius Rosenberg,Julius Rosenberg,identisch,1918-05-12,1953-06-19,plausibel,Mensch
1931_54096,Q1818719,Leo Rosenberg,Leo Rosenberg,identisch,1879-01-07,1963-12-18,plausibel,Mensch
1931_54097,Q1818719,Leo Rosenberg,Leo Rosenberg,identisch,1879-01-07,1963-12-18,plausibel,Mensch
1931_54098,Q1818719,Leo Rosenberg,Leo Rosenberg,identisch,1879-01-07,1963-12-18,plausibel,Mensch
1931_54099,Q1818719,Leo Rosenberg,Leo Rosenberg,identisch,1879-01-07,1963-12-18,plausibel,Mensch
1931_54116,Q1463668,Ludwig Rosenberg,Ludwig Rosenberg,identisch,-,-,unbekannt,Mensch
