id,lat,lon
1931_777,52.4984945,13.3120557
1931_778,52.5914325,13.3775222
1931_779,52.5294522,13.4257345
1931_780,52.44511285,13.5699675
1931_781,,
1931_782,52.4975747,13.2917596
1931_783,52.5087869,13.4196876
1931_784,52.5319861,13.6538983
1931_785,52.4975747,13.2917596
1931_786,52.4548453,13.5120559
1931_787,52.5417038,13.4920261
1931_788,52.5417038,13.4920261
1931_789,52.5114147,13.2685623
1931_790,52.4648431,13.3416478
1931_791,52.5041995,13.3085317
1931_792,52.49496,13.3032793
1931_793,52.4548453,13.5120559
1931_794,52.4826092,13.3826812
1931_795,52.5670993,13.3211604
1931_796,52.4649206,13.4324972
1931_797,52.4844251,13.4657854
1931_798,,
1931_799,,
1931_800,52.539058,13.4053807964061
1931_801,52.5251725,13.3413870643343
1931_802,52.5119839,13.3160508
1931_803,52.5039727,13.3223693
1931_804,52.5173349,13.3359446
1931_805,52.6283325,13.3131499
1931_806,,
1931_807,52.526154,13.4039707
1931_808,52.5231975,13.3506927
1931_809,52.50378935,13.3659254178627
1931_810,52.5368427,13.416737
1931_811,52.4869617,13.3380184
1931_812,52.4984481,13.3198376
1931_813,52.5358456,13.3944226745055
1931_814,52.4860196,13.3599056
1931_815,52.5175049,13.2828793
1931_816,52.4902073,13.3468082
1931_817,,
1931_818,52.4919571,13.2869063
1931_819,52.52064045,13.3440072806158
1931_820,52.5539495,13.3826066
1931_821,52.5293896,13.3288251
1931_822,52.4951194,13.334592
1931_823,52.4912809,13.3124087
1931_824,,
1931_825,52.4612578,13.324997
1931_826,52.4816128,13.3286095
1931_827,52.5053435,13.4144638
1931_828,,
1931_829,52.5237001,13.3380739
1931_830,52.5087772,13.349415
1931_831,52.4979827,13.3114917
1931_832,52.5539495,13.3826066
1931_833,52.49035745,13.3292504695874
1931_834,52.5144406,13.4817983
1931_835,52.4855603,13.3223479
1931_836,52.5050093153846,13.2985939384615
1931_837,52.5316805,13.4033954
1931_838,52.5315469,13.3283952
1931_839,52.5417543,13.4221026
1931_840,52.4855603,13.3223479
1931_841,52.519092,13.3366373
1931_842,52.5030528,13.3120498236636
1931_843,52.5227909,13.4152167
1931_844,52.51782325,13.3408911546068
1931_845,52.5031891,13.3165567
1931_846,52.49867355,13.3332804881226
1931_847,52.5199911,13.3365235
1931_848,52.4627308,13.3811031
1931_849,52.420622,13.3635949
1931_850,52.4982086,13.3247194
1931_851,52.4981048,13.388846
1931_852,52.5092186,13.3741268
1931_853,52.5263111,13.3487105
1931_854,52.5122708,13.2997243
1931_855,52.5314102,13.1984929
1931_856,52.5427106,13.4183497
1931_857,52.5081499,13.3274704
1931_858,52.5267271,13.4080391
1931_859,52.5321005,13.3283838
1931_860,52.5321838,13.4309052
1931_861,52.4947336,13.3093259760203
1931_862,52.5074704,13.3246069
1931_863,52.5005265,13.2947482802802
1931_864,52.4582182,13.331407
1931_865,52.4944465,13.3343089
1931_866,52.5870613,13.37188
1931_867,,
1931_868,,
1931_869,52.5074704,13.3246069
1931_870,52.5254731,13.4122093
1931_871,52.5097907,13.2797504
1931_872,,
1931_873,52.4912809,13.3124087
